Add, s0, o0, W
Add, s0, s1, T
Add, s1, o1, R
Add, s1, s2, T
Add, s2, o2, W
Add, s2, s3, T
Add, s3, o3, R
Add, s3, s4, T
Add, s4, o4, W
Add, s4, s5, T
Add, s5, o5, R
Add, s5, s6, T
Add, s6, o6, W
Add, s6, s7, T
Add, s7, o7, R
Add, s7, s8, T
Add, s8, o8, W
Add, s8, s9, T
Add, s9, o9, R
Add, s9, s10, T
Add, s10, o10, W
Add, s10, s11, T
Add, s11, o11, R
Add, s11, s12, T
Add, s12, o12, W
Add, s12, s13, T
Add, s13, o13, R
Add, s13, s14, T
Add, s14, o14, W
Add, s14, s15, T
Add, s15, o15, R
Add, s15, s16, T
Add, s16, o16, W
Add, s16, s17, T
Add, s17, o17, R
Add, s17, s18, T
Add, s18, o18, W
Add, s18, s19, T
Add, s19, o19, R
Add, s19, s20, T
Add, s20, o20, W
Add, s20, s21, T
Add, s21, o21, R
Add, s21, s22, T
Add, s22, o22, W
Add, s22, s23, T
Add, s23, o23, R
Add, s23, s24, T
Add, s24, o24, W
Add, s24, s25, T
Add, s25, o25, R
Add, s25, s26, T
Add, s26, o26, W
Add, s26, s27, T
Add, s27, o27, R
Add, s27, s28, T
Add, s28, o28, W
Add, s28, s29, T
Add, s29, o29, R
Add, s29, s30, T
Add, s30, o30, W
Add, s30, s31, T
Add, s31, o31, R
Add, s31, s32, T
Add, s32, o32, W
Add, s32, s33, T
Add, s33, o33, R
Add, s33, s34, T
Add, s34, o34, W
Add, s34, s35, T
Add, s35, o35, R
Add, s35, s36, T
Add, s36, o36, W
Add, s36, s37, T
Add, s37, o37, R
Add, s37, s38, T
Add, s38, o38, W
Add, s38, s39, T
Add, s39, o39, R
Add, s39, s40, T
Add, s40, o40, W
Add, s40, s41, T
Add, s41, o41, R
Add, s41, s42, T
Add, s42, o42, W
Add, s42, s43, T
Add, s43, o43, R
Add, s43, s44, T
Add, s44, o44, W
Add, s44, s45, T
Add, s45, o45, R
Add, s45, s46, T
Add, s46, o46, W
Add, s46, s47, T
Add, s47, o47, R
Add, s47, s48, T
Add, s48, o48, W
Add, s48, s49, T
Add, s49, o49, R
Add, s49, s0, T
Query, s0, o0, W
Query, s0, o1, R
Query, s0, o2, W
Query, s0, o3, R
Query, s0, o4, W
Query, s0, o5, R
Query, s0, o6, W
Query, s0, o7, R
Query, s0, o8, W
Query, s0, o9, R
Query, s0, o10, W
Query, s0, o11, R
Query, s0, o12, W
Query, s0, o13, R
Query, s0, o14, W
Query, s0, o15, R
Query, s0, o16, W
Query, s0, o17, R
Query, s0, o18, W
Query, s0, o19, R
Query, s0, o20, W
Query, s0, o21, R
Query, s0, o22, W
Query, s0, o23, R
Query, s0, o24, W
Query, s0, o25, R
Query, s0, o26, W
Query, s0, o27, R
Query, s0, o28, W
Query, s0, o29, R
Query, s0, o30, W
Query, s0, o31, R
Query, s0, o32, W
Query, s0, o33, R
Query, s0, o34, W
Query, s0, o35, R
Query, s0, o36, W
Query, s0, o37, R
Query, s0, o38, W
Query, s0, o39, R
Query, s0, o40, W
Query, s0, o41, R
Query, s0, o42, W
Query, s0, o43, R
Query, s0, o44, W
Query, s0, o45, R
Query, s0, o46, W
Query, s0, o47, R
Query, s0, o48, W
Query, s0, o49, R
